ACCD@tv-basicstudies :  Accumulation/Distribution
studyADR@tv-basicstudies :  ADR
AROON@tv-basicstudies :  Aroon
ATR@tv-basicstudies :  Average True Range
AwesomeOscillator@tv-basicstudies :  Awesome Oscillator
BB@tv-basicstudies :  Bollinger Bands
BollingerBandsR@tv-basicstudies :  Bollinger Bands %B
BollingerBandsWidth@tv-basicstudies :  Bollinger Bands Width
CMF@tv-basicstudies :  Chaikin Money Flow
ChaikinOscillator@tv-basicstudies :  Chaikin Oscillator
chandeMO@tv-basicstudies :  Chande Momentum Oscillator
ChoppinessIndex@tv-basicstudies :  Choppiness Index
CCI@tv-basicstudies :  Commodity Channel Index
CRSI@tv-basicstudies :  ConnorsRSI
CorrelationCoefficient@tv-basicstudies :  Correlation Coefficient
DetrendedPriceOscillator@tv-basicstudies :  Detrended Price Oscillator
DM@tv-basicstudies :  Directional Movement
DONCH@tv-basicstudies :  Donchian Channels
DoubleEMA@tv-basicstudies :  Double EMA
EaseOfMovement@tv-basicstudies :  Ease Of Movement
EFI@tv-basicstudies :  Elders Force Index
ElliottWave@tv-basicstudies :  Elliott Wave
ENV@tv-basicstudies :  Envelope
FisherTransform@tv-basicstudies :  Fisher Transform
HV@tv-basicstudies :  Historical Volatility
hullMA@tv-basicstudies :  Hull Moving Average
IchimokuCloud@tv-basicstudies :  Ichimoku Cloud
KLTNR@tv-basicstudies :  Keltner Channels
KST@tv-basicstudies :  Know Sure Thing
LinearRegression@tv-basicstudies :  Linear Regression
MACD@tv-basicstudies :  MACD
MOM@tv-basicstudies :  Momentum
MF@tv-basicstudies :  Money Flow
MoonPhases@tv-basicstudies :  Moon Phases
MASimple@tv-basicstudies :  Moving Average
MAExp@tv-basicstudies :  Moving Average Exponentional
MAWeighted@tv-basicstudies :  Moving Average Weighted
OBV@tv-basicstudies :  On Balance Volume
PSAR@tv-basicstudies :  Parabolic SAR
PivotPointsHighLow@tv-basicstudies :  Pivot Points High Low
PivotPointsStandard@tv-basicstudies :  Pivot Points Standard
PriceOsc@tv-basicstudies :  Price Oscillator
PriceVolumeTrend@tv-basicstudies :  Price Volume Trend
ROC@tv-basicstudies :  Rate Of Change
RSI@tv-basicstudies :  Relative Strength Index
VigorIndex@tv-basicstudies :  Relative Vigor Index
VolatilityIndex@tv-basicstudies :  Relative Volatility Index
SMIErgodicIndicator@tv-basicstudies :  SMI Ergodic Indicator
SMIErgodicOscillator@tv-basicstudies :  SMI Ergodic Oscillator
Stochastic@tv-basicstudies :  Stochastic
StochasticRSI@tv-basicstudies :  Stochastic RSI
TripleEMA@tv-basicstudies :  Triple EMA
Trix@tv-basicstudies :  TRIX
UltimateOsc@tv-basicstudies :  Ultimate Oscillator
VSTOP@tv-basicstudies :  Volatility Stop
Volume@tv-basicstudies :  Volume
VWAP@tv-basicstudies :  VWAP
MAVolumeWeighted@tv-basicstudies :  VWMA
WilliamR@tv-basicstudies :  Williams %R
WilliamsAlligator@tv-basicstudies :  Williams Alligator
WilliamsFractal@tv-basicstudies :  Williams Fractal
ZigZag@tv-basicstudies :  Zig Zag
